group,file,cmd_line,use,short_desc,aliases,hidden,deprecated,source_kind,flag_name,flag_shorthand,flag_kind,flag_default,flag_usage,flag_line
account,commands/account/account.go,34,account,"Manage your profile, MFA, and feedback",,false,,literal,,,,,,
account,commands/account/account.go,43,profile,Show or update your profile,,false,,literal,,,,,,
account,commands/account/account.go,51,show,Show your profile,,false,,literal,,,,,,
account,commands/account/account.go,101,update,Update fields on your profile,,false,,literal,full-name,,String,"""""",new display name,292
account,commands/account/account.go,101,update,Update fields on your profile,,false,,literal,username,,String,"""""",new username,293
account,commands/account/account.go,101,update,Update fields on your profile,,false,,literal,bio,,String,"""""",new bio,294
account,commands/account/account.go,101,update,Update fields on your profile,,false,,literal,location,,String,"""""",new location,295
account,commands/account/account.go,101,update,Update fields on your profile,,false,,literal,avatar,,String,"""""",new avatar image URL,296
account,commands/account/account.go,145,mfa,Manage two-factor authentication,,false,,literal,,,,,,
account,commands/account/account.go,150,setup,Start MFA setup,,false,,literal,,,,,,
account,commands/account/account.go,180,verify,Finish MFA setup by verifying a code,,false,,literal,code,,String,"""""",6-digit code from your authenticator app (required),299
account,commands/account/account.go,213,disable,Disable two-factor authentication,,false,,literal,yes,y,Bool,false,skip the confirmation prompt,300
account,commands/account/account.go,246,feedback,Send feedback to the Beaver team,,false,,literal,rating,,Int,0,"rating, 1-5 (optional)",303
account,commands/account/account.go,246,feedback,Send feedback to the Beaver team,,false,,literal,title,,String,"""""",short feedback title,304
account,commands/account/account.go,246,feedback,Send feedback to the Beaver team,,false,,literal,description,,String,"""""",feedback details,305
admin,commands/admin/admin.go,11,admin,Administrative commands,,true,,literal,,,,,,
admin,commands/admin/admin.go,17,connect-edge-node,Connect a Beaver edge node,,true,,literal,,,,,,
admin,commands/admin/bootstrap.go,19,bootstrap,Bootstrap the first Beaver super administrator,,true,,literal,,,,,,
agent,commands/agent/agent.go,18,agent,Manage the beaverd agent daemon on this machine,,false,,literal,,,,,,
agent,commands/agent/control.go,15,start,Start the beaverd service,,false,,literal,,,,,,
agent,commands/agent/control.go,23,stop,Stop the beaverd service,,false,,literal,,,,,,
agent,commands/agent/control.go,31,restart,Restart the beaverd service,,false,,literal,,,,,,
agent,commands/agent/control.go,39,status,Show beaverd's service status,,false,,literal,,,,,,
agent,commands/agent/control.go,59,logs,Follow beaverd's logs,,false,,literal,,,,,,
agent,commands/agent/install.go,39,install,Install and start beaverd as a background service,,false,,literal,,,,,,
ai,commands/ai/ai.go,20,ai,Manage this machine's AI provider connections,,false,,literal,,,,,,
ai,commands/ai/ai.go,29,disconnect <provider>,Remove this machine's Alie provider connection,,false,,literal,,,,,,
ai,commands/ai/connect.go,47,connect [provider],Connect an AI provider's API key to this machine,,false,,literal,,,,,,
ai,commands/ai/providers.go,37,providers,List every connected AI provider,,false,,literal,,,,,,
ai,commands/ai/providers.go,78,models,List available models for a connected provider,,false,,literal,provider,,String,"""""","provider name, e.g. openai (required)",288
ai,commands/ai/providers.go,118,add,Store a provider API key in Beaver's own database,,false,,literal,provider,,String,"""""","provider name: openai, claude, gemini, or local (required)",290
ai,commands/ai/providers.go,118,add,Store a provider API key in Beaver's own database,,false,,literal,api-key-stdin,,Bool,false,"read the API key from stdin (required unless --provider is \""local\"")",291
ai,commands/ai/providers.go,118,add,Store a provider API key in Beaver's own database,,false,,literal,base-url,,String,"""""","base URL override, for a self-hosted/local provider",292
ai,commands/ai/providers.go,118,add,Store a provider API key in Beaver's own database,,false,,literal,label,,String,"""""",a display label for this credential,293
ai,commands/ai/providers.go,180,test <provider-id>,Test a stored provider credential,,false,,literal,,,,,,
ai,commands/ai/providers.go,215,update <provider-id>,Update a stored provider credential,,false,,literal,model,,String,"""""",new default model,295
ai,commands/ai/providers.go,215,update <provider-id>,Update a stored provider credential,,false,,literal,label,,String,"""""",new display label,296
ai,commands/ai/providers.go,251,remove <provider-id>,Remove a stored provider credential,,false,,literal,yes,y,Bool,false,skip the confirmation prompt,297
ai,commands/ai/providers.go,276,provider,"Add, test, update, or remove a Beaver-cloud-stored provider credential",,false,,literal,,,,,,
alie,commands/alie/alie.go,17,alie,Alie — Beaver's infrastructure AI,,false,,literal,resume,r,StringP,"""""","choose a session to resume, or pass a session name/id",45
alie,commands/alie/audit.go,16,audit,Show Alie's tool and action audit trail,,false,,literal,tool,,String,"""""",filter by tool name,86
alie,commands/alie/audit.go,16,audit,Show Alie's tool and action audit trail,,false,,literal,event-type,,String,"""""",filter by event type,87
alie,commands/alie/audit.go,16,audit,Show Alie's tool and action audit trail,,false,,literal,container,,String,"""""",filter by container ID,88
alie,commands/alie/audit.go,16,audit,Show Alie's tool and action audit trail,,false,,literal,limit,,Int,50,maximum events to show (1-500),89
alie,commands/alie/commands.go,17,model [session],Show or change a session's model,,false,,literal,model,,String,"""""",model ID to use,196
alie,commands/alie/commands.go,17,model [session],Show or change a session's model,,false,,literal,effort,,String,"""""","reasoning effort: minimal, low, medium, or high",197
alie,commands/alie/commands.go,135,usage [session],Show token usage for an Alie session,,false,,literal,,,,,,
alie,commands/alie/commands.go,158,status,Show connected AI providers and their available models,,false,,literal,,,,,,
alie,commands/alie/compact.go,13,compact [session],Force-compact an Alie session into a structured summary,,false,,literal,,,,,,
alie,commands/alie/controlplane.go,52,approve <approval-id>,Approve a pending action,,false,,literal,,,,,,
alie,commands/alie/controlplane.go,73,reject <approval-id>,Reject a pending action,,false,,literal,,,,,,
alie,commands/alie/controlplane.go,99,approvals,List pending approvals,,false,,literal,,,,,,
alie,commands/alie/controlplane.go,133,approval-policies,List per-tool approval policy overrides,,false,,literal,,,,,,
alie,commands/alie/controlplane.go,164,approval-policy,Set a tool's approval mode,,false,,literal,,,,,,
alie,commands/alie/controlplane.go,169,set,Set a tool's approval mode,,false,,literal,tool,,String,"""""",tool name (required),261
alie,commands/alie/controlplane.go,169,set,Set a tool's approval mode,,false,,literal,mode,,String,"""""",auto or approval (required),262
alie,commands/alie/controlplane.go,202,model-profile,Show this workspace's default AI provider/model,,false,,literal,,,,,,
alie,commands/alie/controlplane.go,234,set,Set this workspace's default AI provider/model,,false,,literal,provider,,String,"""""",provider name (required),265
alie,commands/alie/controlplane.go,234,set,Set this workspace's default AI provider/model,,false,,literal,model,,String,"""""",model ID (required),266
alie,commands/alie/controlplane.go,234,set,Set this workspace's default AI provider/model,,false,,literal,latency,,String,"""""","fast, balanced, or quality",267
alie,commands/alie/controlplane2.go,18,knowledge,List team knowledge rules Alie applies to every relevant turn,,false,,literal,,,,,,
alie,commands/alie/controlplane2.go,53,add,Add a team knowledge rule,,false,,literal,rule,,String,"""""",the knowledge statement (required),504
alie,commands/alie/controlplane2.go,53,add,Add a team knowledge rule,,false,,literal,scope,,String,"""""","scope, if not workspace-wide",505
alie,commands/alie/controlplane2.go,83,delete <id>,Delete a team knowledge rule,,false,,literal,yes,y,Bool,false,skip the confirmation prompt,506
alie,commands/alie/controlplane2.go,112,runbooks,List reusable remediation runbooks,,false,,literal,,,,,,
alie,commands/alie/controlplane2.go,145,add,Add a runbook,,false,,literal,name,,String,"""""",runbook name (required),509
alie,commands/alie/controlplane2.go,145,add,Add a runbook,,false,,literal,description,,String,"""""",what triggers this runbook,510
alie,commands/alie/controlplane2.go,145,add,Add a runbook,,false,,literal,error-rate-threshold,,Float64,0,error rate percent that triggers this runbook (required),511
alie,commands/alie/controlplane2.go,145,add,Add a runbook,,false,,literal,container-id,,String,"""""",scope to one container (optional),512
alie,commands/alie/controlplane2.go,182,autopilot,Show this workspace's autopilot level,,false,,literal,,,,,,
alie,commands/alie/controlplane2.go,206,set,Set this workspace's autopilot level,,false,,literal,level,,String,"""""","off, safe, diagnostic, action, or destructive (required)",514
alie,commands/alie/controlplane2.go,249,goals,List standing infrastructure goals,,false,,literal,,,,,,
alie,commands/alie/controlplane2.go,282,add,Add a standing goal,,false,,literal,metric,,String,"""""","latency_p95, availability, monthly_cost, or security_posture (required)",517
alie,commands/alie/controlplane2.go,282,add,Add a standing goal,,false,,literal,operator,,String,"""""",below or above (required),518
alie,commands/alie/controlplane2.go,282,add,Add a standing goal,,false,,literal,target,,Float64,0,threshold value (required),519
alie,commands/alie/controlplane2.go,282,add,Add a standing goal,,false,,literal,container-id,,String,"""""",scope to one container (optional),520
alie,commands/alie/controlplane2.go,332,policies,List infrastructure policies,,false,,literal,,,,,,
alie,commands/alie/controlplane2.go,366,add,Add an infrastructure policy,,false,,literal,statement,,String,"""""",human-readable policy statement (required),522
alie,commands/alie/controlplane2.go,366,add,Add an infrastructure policy,,false,,literal,metric,,String,"""""","latency_p95, availability, monthly_cost, or security_posture (required)",523
alie,commands/alie/controlplane2.go,366,add,Add an infrastructure policy,,false,,literal,direction,,String,"""""",below or above (required),524
alie,commands/alie/controlplane2.go,366,add,Add an infrastructure policy,,false,,literal,threshold,,Float64,0,threshold value,525
alie,commands/alie/controlplane2.go,366,add,Add an infrastructure policy,,false,,literal,container-id,,String,"""""",scope to one container (optional),526
alie,commands/alie/controlplane2.go,399,review <policy-id>,Mark a policy reviewed,,false,,literal,,,,,,
alie,commands/alie/controlplane2.go,423,api-keys,List Alie API keys,,false,,literal,,,,,,
alie,commands/alie/controlplane2.go,452,create,Create a new Alie API key,,false,,literal,name,,String,"""""",a label for this key,528
alie,commands/alie/controlplane2.go,482,revoke <id>,Revoke an Alie API key,,false,,literal,yes,y,Bool,false,skip the confirmation prompt,529
alie,commands/alie/fork.go,14,fork <session>,"Fork an Alie session into a new one, seeded from its current state",,false,,literal,,,,,,
alie,commands/alie/report.go,34,report <task-id>,Report that a harness task's result was wrong,,false,,literal,category,,String,"""""",What was wrong: ,94
alie,commands/alie/report.go,34,report <task-id>,Report that a harness task's result was wrong,,false,,literal,note,,String,"""""",Optional detail (secrets are removed before it is stored),95
alie,commands/alie/session.go,13,session [session],Show details for an Alie session,,false,,literal,,,,,,
alie,commands/alie/sessions.go,78,sessions,List your Alie sessions,,false,,literal,all,,Bool,false,include archived/inactive sessions,366
alie,commands/alie/sessions.go,286,rename <session> <new-name>,Rename an Alie session,,false,,literal,,,,,,
alie,commands/alie/sessions.go,309,delete <session>,Delete an Alie session,,false,,literal,force,,Bool,false,skip the confirmation prompt,367
