group,doc_status,mapped_pages
account,documented,account
admin,undocumented,
agent,documented,agent
ai,documented,ai
alie,documented,alie
auth,documented-under-different-name,login;logout;whoami
autoscale,documented,autoscale
billing,documented,billing;plans
cloud,documented,cloud
completion,documented,completion
compose,documented,compose
config,documented,config;validate
connect,documented,connect
container,documented,container;containers
coupon,documented,coupon
deploy,documented,deploy
deployment,documented,deployment
diff,documented,diff
docker,documented,docker
doctor,documented,doctor
domain,documented,domain
edge,documented,edge
environment,documented,environment
firewall,documented,firewall
git,documented,git
github,documented,github
health,documented,health
history,documented,history
initcmd,documented-under-different-name,init
inspect,documented,inspect
integration,documented-under-different-name,integrations
machine,documented,machine
mcpcmd,undocumented,
mystic,documented,mystic
observability,documented-under-different-name,logs;metrics;traffic
observe,documented,observe
preflight,documented,preflight
project,documented,project
projectcontract,documented-under-different-name,config;plan;validate
promote,documented,promote
reconcilecmd,documented-under-different-name,reconcile
recover,documented,recover
root,documented-under-different-name,shell
route,documented,route
scaling,documented,scaling
server,documented,server
service,documented,service
skillscmd,documented-under-different-name,skills
speccmd,documented-under-different-name,spec
statecmd,documented-under-different-name,state
status,documented,status
update,documented,update
version,documented,version
workspace,documented,workspace
